time_s,nodeId,x,y,z
1,0,0.0204039,0.00660787,0.00697727
1,1,1.8113,0.127791,0.206522
1,2,2.00396,0.0215743,0.006544
1,3,2.99771,0.0926331,0.0354319
1,4,4.01331,0.0938746,0.0359589
1,5,5.24829,2.50824,7.84371
1,6,5.99474,0.118756,0.0930194
1,7,7.01198,0.10481,0.050416
1,8,9.59419,-1.45718,1.61914
1,9,-0.651608,0.923202,0.741998
1,10,0.191968,0.747477,4.30853
1,11,0.719865,2.46194,3.35194
1,12,1.65101,1.22133,2.35986
1,13,2.99659,1.04162,0.0431461
1,14,0.319292,4.05854,18.9176
2,0,0.0204039,0.00660787,0.00697727
2,1,1.8113,0.127791,0.206522
2,2,2.00396,0.0215743,0.006544
2,3,2.99771,0.0926331,0.0354319
2,4,4.01331,0.0938746,0.0359589
2,5,5.24829,2.50824,7.84371
2,6,5.99474,0.118756,0.0930194
2,7,7.01198,0.10481,0.050416
2,8,9.59242,-1.478,1.60089
2,9,-0.651608,0.923202,0.741998
2,10,0.191968,0.747477,4.30853
2,11,0.719865,2.46194,3.35194
2,12,1.65101,1.22133,2.35986
2,13,2.99659,1.04162,0.0431461
2,14,0.320535,4.03398,18.9189
3,0,0.0204039,0.00660787,0.00697727
3,1,1.8113,0.127791,0.206522
3,2,2.00396,0.0215743,0.006544
3,3,2.99771,0.0926331,0.0354319
3,4,4.01331,0.0938746,0.0359589
3,5,5.24829,2.50824,7.84371
3,6,5.99474,0.118756,0.0930194
3,7,7.01198,0.10481,0.050416
3,8,9.59064,-1.49882,1.58265
3,9,-0.651608,0.923202,0.741998
3,10,0.191968,0.747477,4.30853
3,11,0.719865,2.46194,3.35194
3,12,1.65101,1.22133,2.35986
3,13,2.99659,1.04162,0.0431461
3,14,0.321777,4.00943,18.9202
4,0,0.0204039,0.00660787,0.00697727
4,1,1.8113,0.127791,0.206522
4,2,2.00396,0.0215743,0.006544
4,3,2.99771,0.0926331,0.0354319
4,4,4.01331,0.0938746,0.0359589
4,5,5.24829,2.50824,7.84371
4,6,5.99474,0.118756,0.0930194
4,7,7.01198,0.10481,0.050416
4,8,9.58997,-1.51932,1.56097
4,9,-0.651608,0.923202,0.741998
4,10,0.191968,0.747477,4.30853
4,11,0.719865,2.46194,3.35194
4,12,1.65101,1.22133,2.35986
4,13,2.99659,1.04162,0.0431461
4,14,0.328483,3.97705,18.8619
5,0,0.0204039,0.00660787,0.00697727
5,1,1.8113,0.127791,0.206522
5,2,2.00396,0.0215743,0.006544
5,3,2.99771,0.0926331,0.0354319
5,4,4.01331,0.0938746,0.0359589
5,5,5.24829,2.50824,7.84371
5,6,5.99474,0.118756,0.0930194
5,7,7.01198,0.10481,0.050416
5,8,9.59223,-1.53899,1.5303
5,9,-0.651608,0.923202,0.741998
5,10,0.191968,0.747477,4.30853
5,11,0.719865,2.46194,3.35194
5,12,1.65101,1.22133,2.35986
5,13,2.99659,1.04162,0.0431461
5,14,0.332179,3.95217,18.8074
6,0,0.0204039,0.00660787,0.00697727
6,1,1.8113,0.127791,0.206522
6,2,2.00396,0.0215743,0.006544
6,3,2.99771,0.0926331,0.0354319
6,4,4.01331,0.0938746,0.0359589
6,5,5.24829,2.50824,7.84371
6,6,5.99474,0.118756,0.0930194
6,7,7.01198,0.10481,0.050416
6,8,9.59449,-1.55867,1.49963
6,9,-0.651608,0.923202,0.741998
6,10,0.191968,0.747477,4.30853
6,11,0.719865,2.46194,3.35194
6,12,1.65101,1.22133,2.35986
6,13,2.99659,1.04162,0.0431461
6,14,0.326893,3.94968,18.7644
7,0,0.0204039,0.00660787,0.00697727
